units,dropout,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc
64,0.5,0.8864461476401775,0.8869116667701378,0.8863838733613654,0.886399005224047,0.9536268013590742,0.9519265797910852
64,0.2,0.8801936264622832,0.8807755452798056,0.8801232149133655,0.8801324584174833,0.9502286277777054,0.9469324659738207
256,0.2,0.8765631302944735,0.8765747762408462,0.8765527161956338,0.87655861079578,0.9458402762409363,0.9440781957648922
128,0.2,0.8761597418313837,0.87744959690591,0.8760541286433992,0.8760306373585061,0.9482523399768281,0.9461516338490044
256,0.5,0.8743444937474788,0.8755401792092747,0.8742425179322285,0.8742215641268929,0.9481071898147545,0.9469292944465459
128,0.5,0.8686970552642195,0.8709182922313694,0.8685569275030267,0.8684677786283541,0.9441545328508012,0.942039711457904
