accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,C,features
0.9064138765631303,0.9064482635159328,0.90639799783902,0.9064083787355087,0.9660109415884504,0.9656610708549141,0.25,word
0.9078257361839451,0.9079120695961067,0.9078003566918781,0.9078159821797024,0.9675335537706498,0.9668994978790728,0.5,word
0.9064138765631303,0.9065870946398289,0.9063774945650052,0.9063972897386088,0.9681143171433407,0.9673355995099616,1.0,word
0.9056070996369504,0.9057798909574952,0.9055707070049599,0.9055903698225622,0.9679776286499082,0.9670534838066028,2.0,word
0.9052037111738604,0.9053762891163285,0.9051673132249372,0.9051869098645391,0.9676577124855177,0.9666688537610445,4.0,word
0.9043969342476805,0.904543036275004,0.9043634547040369,0.9043819818764158,0.9673809182863168,0.9663523770887419,8.0,word
0.8983461073013311,0.8984894423107228,0.8983125480036971,0.8983302085774549,0.9635575458557349,0.9630358035929311,0.25,char
0.9019766034691408,0.9020978212741574,0.9019460210630459,0.9019631871887511,0.9646889685876824,0.9639537336477589,0.5,char
0.9021782977006858,0.9024152083874429,0.9021352695366911,0.9021559082165023,0.964615254435867,0.9635725067733734,1.0,char
0.9027833803953207,0.9029975224180782,0.9027425569860839,0.9027628742485732,0.9637568832419906,0.9624848039106901,2.0,char
0.9011698265429609,0.9014471369943327,0.9011231237877033,0.9011440888525598,0.962644011091295,0.9612076659466967,4.0,char
0.8979427188382412,0.8982523254768546,0.897893044508377,0.8979134156955191,0.961698094171863,0.960164871858145,8.0,char
0.9082291246470351,0.908383360263084,0.9081949633544658,0.9082143048227068,0.9684998112396996,0.9676437403404068,0.25,union
0.9110528438886648,0.9112354827202589,0.9110157907754795,0.911036597832754,0.9691728393454575,0.96806547486629,0.5,union
0.9110528438886648,0.9113125338208254,0.9110084681776169,0.9110313850984106,0.9691472916151374,0.9677523949854125,1.0,union
0.9106494554255748,0.9109433855944467,0.9106021453584493,0.910625600936033,0.9688563403934024,0.9672640886447224,2.0,union
0.9102460669624849,0.9105051493962448,0.9102016806175717,0.9102244135346774,0.9686085111368579,0.9669113881856107,4.0,union
0.9106494554255748,0.9109088416085351,0.9106050743975943,0.910627899316544,0.9684431831495632,0.9666899577462537,8.0,union
